Y,X1,X2,X3,X4,X5
67.88,26.77,4634,4.52,5720,8.55
71.02,13.78,3333,4.97,4634,8.47
61.98,58.42,13530,5.7,16201,9.22
68.96,36.98,7075,5.45,7249,9.19
67.4,12.3,3552,5.08,7101,9.52
69.04,11.93,4043,6.22,3377,8.28
76.22,3.26,186,3.49,1186,7.97
62.9,17.02,17242,9,11654,10.68
65.16,41.92,23323,8.26,16391,10.48
69.24,7.91,4217,9.46,4504,10.79
