Y,X1,X2,X3,X4,X5
61.7,27.02,4429,4.88,5815,8.80
69.68,15.38,3100,4.62,4545,8.78
61.95,62.87,13733,4.14,16762,9.24
67.78,36.84,7247,6.48,7293,9.44
64.97,13.31,3441,5.02,7338,9.54
68.4,11.59,4066,2.12,3774,8.51
70.51,3.1,145,2.44,1260,8.36
65.58,15.83,17367,6.9,12067,10.92
62.96,41.95,23099,6.78,16860,10.71
72.08,8.39,4109,7.81,4506,10.81
